level	name	query	latitude	longitude
country	Brazil	Brazil	-14.235004	-51.92528
country	Argentina	Argentina	-34.9964963	-64.9672817
country	Chile	Chile	-31.7613365	-71.3187697
country	Colombia	Colombia	4.099917	-72.9088133
country	Peru	Peru	-6.8699697	-75.0458515
country	United States	United States	39.7837304	-100.445882
division	Acre	Brazil, Acre	-9.0478679	-70.5264976
division	Alagoas	Brazil, Alagoas	-9.6611661	-36.6502426
division	Amapa	Brazil, Amapa	1.3545442	-51.9161977
division	Amazonas	Brazil, Amazonas	-4.479925	-63.5185396
division	Bahia	Brazil, Bahia	-12.285251	-41.9294776
division	Ceara	Brazil, Ceara	-5.3264703	-39.7156073
division	Distrito Federal	Brazil, Distrito Federal	-15.7754462	-47.7970891
division	Espirito Santo	Brazil, Espirito Santo	-19.5687682	-40.1721991
division	Goias	Brazil, Goias	-15.9323662	-50.1392928
division	Maranhao	Brazil, Maranhao	-5.2085503	-45.3930262
division	Mato Grosso	Brazil, Mato Grosso	-12.2115009	-55.5716547
division	Mato Grosso do Sul	Brazil, Mato Grosso do Sul	-20.7722295	-54.7851531
division	Minas Gerais	Brazil, Minas Gerais	-18.512178	-44.5550308
division	Para	Brazil, Para	-4.7493933	-52.8973006
division	Paraiba	Brazil, Paraiba	-7.1219366	-36.7246845
division	Parana	Brazil, Parana	-24.4842187	-51.8148872
division	Pernambuco	Brazil, Pernambuco	-8.4116316	-37.5919699
division	Piaui	Brazil, Piaui	-7.6992782	-42.5043787
division	Rio de Janeiro	Brazil, Rio de Janeiro	-22.2752761	-42.4194155
division	Rio Grande do Norte	Brazil, Rio Grande do Norte	-5.6781175	-36.4781776
division	Rio Grande do Sul	Brazil, Rio Grande do Sul	-30.0346316	-51.2176986
division	Rondonia	Brazil, Rondonia	-10.943145	-62.8277863
division	Roraima	Brazil, Roraima	2.135138	-61.3631922
division	Santa Catarina	Brazil, Santa Catarina	-27.0628367	-51.114965
division	Sao Paulo	Brazil, Sao Paulo	-23.5506507	-46.6333824
division	Sergipe	Brazil, Sergipe	-10.6743911	-37.3773519
division	Tocantins	Brazil, Tocantins	-10.8855129	-48.3716912
