strain	genbank	date	country	region	division	location	length	host_type	host	authors	date_submitted
JF912185	JF912185	1992-01-01	Brazil				11008	Mosquito	Sabethes sp.	Palacios et al	2011-05-03
MF405338	MF405338	1927-XX-XX	Ghana				10395	Human	Homo sapiens	Klitting et al	2017-06-26
MZ285906	MZ285906	1927-XX-XX	Senegal				10832	Human	Homo sapiens	Strother et al	2021-05-22
KU978764	KU978764	1941-06-06	Sudan				10824	Human	Homo sapiens	Guerbois et al	2016-03-24
KU978763	KU978763	1946-XX-XX	Nigeria				10804	Human	Homo sapiens	Guerbois et al	2016-03-24
MW158338	MW158338	1955-01-21	Brazil				10780	Non-human primate	sentinel monkey	Tesh et al	2020-10-15
MW158339	MW158339	1960-09-23	Brazil				10742	Non-human primate	Cebus sp.	Tesh et al	2020-10-15
KU978765	KU978765	1965-08-23	Guinea-Bissau				10851	Human	Homo sapiens	Guerbois et al	2016-03-24
MW158363	MW158363	1966-XX-XX	USA				10838	Human	Homo sapiens	Tesh et al	2020-10-15
MW158340	MW158340	1968-06-06	Brazil				10780	Non-human primate	Saguinus midas	Tesh et al	2020-10-15
MW158343	MW158343	1973-02-16	Brazil				10667	Mosquito	Haemagogus sp.	Tesh et al	2020-10-15
JX898869	JX898869	1973-XX-XX	Cote d'Ivoire				10848	Mosquito	Aedes africanus	Stock et al	2012-10-03
MK060080	MK060080	1979-10-30	Senegal				10195	Human	Homo sapiens	Amraoui et al	2018-10-16
JF912179	JF912179	1980-XX-XX	Brazil				10889	Mosquito	Haemagogus sp.	Palacios et al	2011-05-03
JF912180	JF912180	1981-XX-XX	Brazil				11008	Human	Homo sapiens	Palacios et al	2011-05-03
JF912181	JF912181	1983-XX-XX	Brazil				10795	Human	Homo sapiens	Palacios et al	2011-05-03
JF912182	JF912182	1984-XX-XX	Brazil				10860	Human	Homo sapiens	Palacios et al	2011-05-03
JF912183	JF912183	1984-XX-XX	Brazil				10852	Human	Homo sapiens	Palacios et al	2011-05-03
MW158344	MW158344	1985-06-16	Brazil				10665	Mosquito	Haemagogus janthinomys	Tesh et al	2020-10-15
JF912184	JF912184	1987-XX-XX	Brazil				11004	Human	Homo sapiens	Palacios et al	2011-05-03
MW158345	MW158345	1988-12-14	Trinidad and Tobago				10660	Mosquito	Haemagogus janthinomys	Tesh et al	2020-10-15
MW158346	MW158346	1989-01-20	Trinidad and Tobago				10667	Mosquito	Sabethes chloropterus	Tesh et al	2020-10-15
MW158347	MW158347	1989-02-22	Trinidad and Tobago				10666	Non-human primate	Alouatta sp.	Tesh et al	2020-10-15
MW158341	MW158341	1991-06-21	Brazil				10618	Non-human primate	Alouatta sp.	Tesh et al	2020-10-15
ON022722	ON022722	1993-04-06	Brazil	Sudeste	São Paulo	Campinas	10173	Human	Homo sapiens	Hill et al	2022-03-16
